step_id,axis,u_cmd,t_ros_s,u_yaw,u_pitch,rate_roll,rate_pitch,rate_yaw,state_roll,state_pitch,state_yaw
0,yaw,0.1,1776354592.606393,0.1,0.0,0.6,-0.3,0.0,0.0,-0.0,-102.8
0,yaw,0.1,1776354592.6155846,0.1,0.0,0.6,-0.3,0.0,0.0,-0.0,-102.8
0,yaw,0.1,1776354592.6253247,0.1,0.0,0.9,-0.2,-0.1,0.0,-0.0,-102.9
0,yaw,0.1,1776354592.635517,0.1,0.0,0.9,-0.2,-0.1,0.0,-0.0,-102.9
0,yaw,0.1,1776354592.6454923,0.1,0.0,0.6,-0.1,0.2,0.0,-0.0,-103.0
0,yaw,0.1,1776354592.6552968,0.1,0.0,0.6,-0.1,0.2,0.0,-0.0,-103.0
0,yaw,0.1,1776354592.6652484,0.1,0.0,0.5,-0.4,1.1,0.0,-0.0,-102.9
0,yaw,0.1,1776354592.6753757,0.1,0.0,0.5,-0.4,1.1,0.0,-0.0,-102.9
0,yaw,0.1,1776354592.6853833,0.1,0.0,0.4,-0.2,2.3,0.0,-0.0,-102.8
0,yaw,0.1,1776354592.695388,0.1,0.0,0.4,-0.2,2.3,0.0,-0.0,-102.8
0,yaw,0.1,1776354592.7063315,0.1,0.0,0.4,-0.2,2.3,0.0,-0.0,-102.8
0,yaw,0.1,1776354592.7156153,0.1,0.0,0.7,-0.5,3.0,0.0,-0.0,-102.7
0,yaw,0.1,1776354592.725316,0.1,0.0,0.8,-0.1,4.3,0.0,-0.0,-102.7
0,yaw,0.1,1776354592.7353902,0.1,0.0,0.8,-0.1,4.3,0.0,-0.0,-102.7
0,yaw,0.1,1776354592.74535,0.1,0.0,0.8,-0.1,4.3,0.0,-0.0,-102.7
0,yaw,0.1,1776354592.7555017,0.1,0.0,0.7,-0.0,4.3,0.0,-0.0,-102.6
0,yaw,0.1,1776354592.7655184,0.1,0.0,0.7,-0.0,4.3,0.0,-0.0,-102.6
0,yaw,0.1,1776354592.7752502,0.1,0.0,0.8,-0.2,5.0,0.0,-0.0,-102.5
0,yaw,0.1,1776354592.7852492,0.1,0.0,0.8,-0.2,5.0,0.0,-0.0,-102.5
0,yaw,0.1,1776354592.7953994,0.1,0.0,0.4,-0.1,5.3,0.0,-0.0,-102.3
0,yaw,0.1,1776354592.8054483,0.1,0.0,0.4,-0.1,5.3,0.0,-0.0,-102.3
0,yaw,0.1,1776354592.8152962,0.1,0.0,0.4,-0.4,5.7,0.0,-0.0,-102.3
0,yaw,0.1,1776354592.8253083,0.1,0.0,0.4,-0.4,5.7,0.0,-0.0,-102.3
0,yaw,0.1,1776354592.835258,0.1,0.0,0.9,-0.3,5.9,0.0,-0.0,-102.3
0,yaw,0.1,1776354592.8454726,0.1,0.0,0.9,-0.3,5.9,0.0,-0.0,-102.3
0,yaw,0.1,1776354592.8552911,0.1,0.0,0.8,-0.2,6.0,0.0,-0.0,-102.2
0,yaw,0.1,1776354592.8653681,0.1,0.0,0.8,-0.2,6.0,0.0,-0.0,-102.2
0,yaw,0.1,1776354592.8752542,0.1,0.0,0.7,-0.3,6.3,0.0,-0.0,-101.9
0,yaw,0.1,1776354592.8853676,0.1,0.0,0.7,-0.3,6.3,0.0,-0.0,-101.9
0,yaw,0.1,1776354592.895281,0.1,0.0,0.8,-0.2,6.4,0.0,-0.0,-101.9
0,yaw,0.1,1776354592.9053717,0.1,0.0,0.8,-0.2,6.4,0.0,-0.0,-101.9
0,yaw,0.1,1776354592.915295,0.1,0.0,0.6,-0.2,6.4,0.0,-0.0,-101.7
0,yaw,0.1,1776354592.925539,0.1,0.0,0.6,-0.2,6.4,0.0,-0.0,-101.7
0,yaw,0.1,1776354592.9353473,0.1,0.0,0.5,-0.0,6.5,0.0,-0.0,-101.6
0,yaw,0.1,1776354592.9453433,0.1,0.0,0.5,-0.0,6.5,0.0,-0.0,-101.6
0,yaw,0.1,1776354592.9553628,0.1,0.0,0.6,-0.3,6.8,0.0,-0.0,-101.4
0,yaw,0.1,1776354592.9658682,0.1,0.0,0.6,-0.3,6.8,0.0,-0.0,-101.4
0,yaw,0.1,1776354592.9753218,0.1,0.0,0.6,-0.2,6.8,0.0,-0.0,-101.3
0,yaw,0.1,1776354592.985262,0.1,0.0,0.6,-0.2,6.8,0.0,-0.0,-101.3
0,yaw,0.1,1776354592.9955902,0.1,0.0,0.7,-0.4,6.6,0.0,-0.0,-101.1
0,yaw,0.1,1776354593.005304,0.1,0.0,0.7,-0.4,6.6,0.0,-0.0,-101.1
0,yaw,0.1,1776354593.015314,0.1,0.0,0.9,-0.2,6.7,0.0,-0.0,-101.0
0,yaw,0.1,1776354593.0251842,0.1,0.0,0.9,-0.2,6.7,0.0,-0.0,-101.0
0,yaw,0.1,1776354593.0355442,0.1,0.0,0.7,-0.2,6.8,0.0,-0.0,-101.0
0,yaw,0.1,1776354593.0452983,0.1,0.0,0.7,-0.2,6.8,0.0,-0.0,-101.0
0,yaw,0.1,1776354593.0554533,0.1,0.0,0.4,-0.0,7.0,0.0,-0.0,-100.8
