step_id,axis,u_cmd,t_ros_s,u_yaw,u_pitch,rate_roll,rate_pitch,rate_yaw,state_roll,state_pitch,state_yaw
0,yaw,0.1,1776262359.820256,0.1,0.0,0.5,-0.3,0.2,0.0,-0.0,-102.1
0,yaw,0.1,1776262359.829791,0.1,0.0,0.5,-0.0,0.0,0.0,-0.0,-102.2
0,yaw,0.1,1776262359.8397174,0.1,0.0,0.5,-0.0,0.0,0.0,-0.0,-102.2
0,yaw,0.1,1776262359.849608,0.1,0.0,0.5,-0.0,0.0,0.0,-0.0,-102.2
0,yaw,0.1,1776262359.8597307,0.1,0.0,0.6,-0.3,0.2,0.0,-0.0,-102.2
0,yaw,0.1,1776262359.8697119,0.1,0.0,0.6,-0.0,0.5,0.0,-0.0,-102.0
0,yaw,0.1,1776262359.8798895,0.1,0.0,0.6,-0.0,0.5,0.0,-0.0,-102.0
0,yaw,0.1,1776262359.8895667,0.1,0.0,0.8,-0.6,1.5,0.0,-0.0,-102.1
0,yaw,0.1,1776262359.8989706,0.1,0.0,0.8,-0.6,1.5,0.0,-0.0,-102.1
0,yaw,0.1,1776262359.9093783,0.1,0.0,0.5,-0.1,2.5,0.0,-0.0,-102.0
0,yaw,0.1,1776262359.9195611,0.1,0.0,0.5,-0.1,2.5,0.0,-0.0,-102.0
0,yaw,0.1,1776262359.9294522,0.1,0.0,0.5,-0.1,2.5,0.0,-0.0,-102.0
0,yaw,0.1,1776262359.9395585,0.1,0.0,0.6,-0.0,3.4,0.0,-0.0,-101.9
0,yaw,0.1,1776262359.949655,0.1,0.0,0.7,-0.4,4.0,0.0,-0.0,-101.8
0,yaw,0.1,1776262359.9593089,0.1,0.0,0.7,-0.4,4.0,0.0,-0.0,-101.8
0,yaw,0.1,1776262359.9696097,0.1,0.0,0.5,-0.1,4.7,0.0,-0.0,-101.8
0,yaw,0.1,1776262359.9793453,0.1,0.0,0.5,-0.1,4.7,0.0,-0.0,-101.8
0,yaw,0.1,1776262359.9894764,0.1,0.0,0.8,-0.1,5.3,0.0,-0.0,-101.6
0,yaw,0.1,1776262359.9993434,0.1,0.0,0.8,-0.1,5.3,0.0,-0.0,-101.6
0,yaw,0.1,1776262360.00928,0.1,0.0,0.8,-0.0,5.4,0.0,-0.0,-101.5
0,yaw,0.1,1776262360.0194058,0.1,0.0,0.8,-0.0,5.4,0.0,-0.0,-101.5
0,yaw,0.1,1776262360.0293682,0.1,0.0,0.6,-0.3,6.1,0.0,-0.0,-101.5
0,yaw,0.1,1776262360.0394104,0.1,0.0,0.6,-0.3,6.1,0.0,-0.0,-101.5
0,yaw,0.1,1776262360.0494998,0.1,0.0,0.6,-0.3,6.1,0.0,-0.0,-101.5
0,yaw,0.1,1776262360.0590658,0.1,0.0,0.7,-0.3,6.0,0.0,-0.0,-101.5
0,yaw,0.1,1776262360.0694737,0.1,0.0,0.7,-0.3,6.0,0.0,-0.0,-101.5
0,yaw,0.1,1776262360.0794806,0.1,0.0,0.6,-0.0,6.3,0.0,-0.0,-101.2
0,yaw,0.1,1776262360.089333,0.1,0.0,0.8,-0.1,6.4,0.0,-0.0,-101.0
0,yaw,0.1,1776262360.099618,0.1,0.0,0.8,-0.1,6.4,0.0,-0.0,-101.0
0,yaw,0.1,1776262360.1093514,0.1,0.0,0.8,-0.1,6.4,0.0,-0.0,-101.0
0,yaw,0.1,1776262360.11951,0.1,0.0,0.6,-0.1,6.7,0.0,-0.0,-100.9
0,yaw,0.1,1776262360.1294935,0.1,0.0,0.6,-0.1,6.7,0.0,-0.0,-100.9
0,yaw,0.1,1776262360.1397145,0.1,0.0,0.6,-0.0,7.0,0.0,-0.0,-100.9
0,yaw,0.1,1776262360.14928,0.1,0.0,0.6,-0.0,7.0,0.0,-0.0,-100.9
0,yaw,0.1,1776262360.1592903,0.1,0.0,0.8,-0.0,6.9,0.0,-0.0,-100.8
0,yaw,0.1,1776262360.169351,0.1,0.0,0.8,-0.0,6.9,0.0,-0.0,-100.8
0,yaw,0.1,1776262360.1792896,0.1,0.0,0.7,-0.4,6.9,0.0,-0.0,-100.7
0,yaw,0.1,1776262360.1892724,0.1,0.0,0.7,-0.4,6.9,0.0,-0.0,-100.7
0,yaw,0.1,1776262360.1994882,0.1,0.0,0.4,-0.4,7.1,0.0,-0.0,-100.4
0,yaw,0.1,1776262360.209291,0.1,0.0,0.4,-0.4,7.1,0.0,-0.0,-100.4
0,yaw,0.1,1776262360.2193935,0.1,0.0,0.8,-0.0,7.1,0.0,-0.0,-100.2
0,yaw,0.1,1776262360.2296972,0.1,0.0,0.8,-0.0,7.1,0.0,-0.0,-100.2
0,yaw,0.1,1776262360.2392812,0.1,0.0,0.7,-0.2,7.2,0.0,-0.0,-100.1
0,yaw,0.1,1776262360.2494597,0.1,0.0,0.7,-0.2,7.2,0.0,-0.0,-100.1
0,yaw,0.1,1776262360.2592745,0.1,0.0,0.7,-0.0,7.2,0.0,-0.0,-100.0
0,yaw,0.1,1776262360.2692397,0.1,0.0,0.7,-0.0,7.2,0.0,-0.0,-100.0
0,yaw,0.1,1776262360.2794082,0.1,0.0,0.6,-0.3,7.1,0.0,-0.0,-99.8
0,yaw,0.1,1776262360.2893233,0.1,0.0,0.6,-0.3,7.1,0.0,-0.0,-99.8
0,yaw,0.1,1776262360.2989552,0.1,0.0,0.7,-0.1,7.1,0.0,-0.0,-99.7
0,yaw,0.1,1776262360.3087437,0.1,0.0,0.7,-0.1,7.1,0.0,-0.0,-99.7
0,yaw,0.1,1776262360.3193514,0.1,0.0,0.6,-0.0,7.5,0.0,-0.0,-99.5
0,yaw,0.1,1776262360.3292353,0.1,0.0,0.6,-0.0,7.5,0.0,-0.0,-99.5
0,yaw,0.1,1776262360.3392603,0.1,0.0,0.2,-0.2,7.4,0.0,-0.0,-99.4
0,yaw,0.1,1776262360.3492239,0.1,0.0,0.2,-0.2,7.4,0.0,-0.0,-99.4
0,yaw,0.1,1776262360.3592765,0.1,0.0,1.0,-0.2,7.2,0.0,-0.0,-99.3
0,yaw,0.1,1776262360.3692706,0.1,0.0,1.0,-0.2,7.2,0.0,-0.0,-99.3
0,yaw,0.1,1776262360.3794532,0.1,0.0,0.6,-0.0,7.4,0.0,-0.0,-99.1
0,yaw,0.1,1776262360.3892105,0.1,0.0,0.6,-0.0,7.4,0.0,-0.0,-99.1
0,yaw,0.1,1776262360.3994088,0.1,0.0,0.5,-0.3,7.1,0.0,-0.0,-99.1
0,yaw,0.1,1776262360.4092395,0.1,0.0,0.5,-0.3,7.1,0.0,-0.0,-99.1
0,yaw,0.1,1776262360.4192283,0.1,0.0,0.6,-0.3,7.2,0.0,-0.0,-98.8
0,yaw,0.1,1776262360.4294307,0.1,0.0,0.6,-0.3,7.2,0.0,-0.0,-98.8
0,yaw,0.1,1776262360.4392798,0.1,0.0,0.7,-0.0,7.2,0.0,-0.0,-98.7
0,yaw,0.1,1776262360.4492352,0.1,0.0,0.7,-0.0,7.2,0.0,-0.0,-98.7
0,yaw,0.1,1776262360.45926,0.1,0.0,0.5,-0.0,7.4,0.0,-0.0,-98.6
0,yaw,0.1,1776262360.469191,0.1,0.0,0.5,-0.0,7.4,0.0,-0.0,-98.6
0,yaw,0.1,1776262360.479305,0.1,0.0,0.8,-0.8,7.3,0.0,-0.0,-98.4
0,yaw,0.1,1776262360.4892123,0.1,0.0,0.8,-0.8,7.3,0.0,-0.0,-98.4
0,yaw,0.1,1776262360.4993246,0.1,0.0,0.6,-0.5,7.2,0.0,-0.0,-98.2
0,yaw,0.1,1776262360.5093982,0.1,0.0,0.6,-0.5,7.2,0.0,-0.0,-98.2
0,yaw,0.1,1776262360.519296,0.1,0.0,0.8,-0.0,7.1,0.0,-0.0,-98.2
0,yaw,0.1,1776262360.5294166,0.1,0.0,0.8,-0.0,7.1,0.0,-0.0,-98.2
