sample_index,t_received,t_display,latency_ms
0,1777956534.120652,1777956533.900000,220.652
1,1777956534.343578,1777956534.117000,226.578
2,1777956573.344023,1777956573.170000,174.022
3,1777956609.215935,1777956609.037000,178.935
