zoom_level,lensmodel,model_path,image_width,image_height,num_images,num_detected_corner_frames,rms_reprojection_error_px,worst_reprojection_error_px,max_projection_uncertainty_px,fx,fx_std,fy,fy_std,cx,cx_std,cy,cy_std,k1,k1_std,k2,k2_std,p1,p1_std,p2,p2_std,k3,k3_std,k4,k4_std,k5,k5_std,k6,k6_std
1x,LENSMODEL_OPENCV8,datasets/camera_calibration/2026-05-05/1x/calibration/camera-0.cameramodel,960,540,75,74,0.3,1.0,4.938907490838871,1005.056593,43.490376216394914,998.0119716,42.71763643194742,470.0094624,6.7449619474555185,292.451028,9.220047177725622,-0.1207507037,0.18289015838885186,0.4141856212,0.3132045231929066,-0.001422118691,0.0024358629391438786,-0.003198948355,0.0025871467142327027,0.3882350923,0.6153586996921159,-0.003375828848,0.1817091828678506,-0.01960948686,0.18275656297992515,-0.0162147788,0.1837873450780209
2x,LENSMODEL_OPENCV8,datasets/camera_calibration/2026-05-05/2x/calibration/camera-0.cameramodel,960,540,85,85,0.2,1.0,5.5794339268326985,1161.117226,70.2408930312795,1153.65399,69.41399559171927,542.9663977,15.945999395375075,285.2322876,15.937220251345677,-0.1338445349,0.17180933866896203,0.3205765813,0.298432398479789,-0.003492468273,0.002566017329534922,-0.003451803771,0.0027680644151660827,0.07786334011,0.6160985109904851,0.006095449719,0.1699944939620211,-0.01243496671,0.17057851225879467,-0.003037566227,0.1718638012141032
4x,LENSMODEL_OPENCV8,datasets/camera_calibration/2026-05-05/4x/calibration/camera-0.cameramodel,960,540,98,98,0.3,1.0,8.918823200357838,1620.952563,170.04061967767925,1617.365571,170.4301613648614,564.1994497,49.64127811660494,291.4606157,35.54337364667044,-0.0564527844,0.16950733256351982,-0.3608486828,0.34576732767705753,-0.0006001243807,0.004458942607978561,-0.005901623648,0.006680406036957888,-0.0780218816,0.7884452252833912,0.0002457128097,0.15844234500553012,0.0141452082,0.15907385920047923,0.003101482986,0.16147507961452162
