step_id,axis,cmd_to,t_rel_s,state_roll,state_pitch,state_yaw,enc_roll,enc_pitch,enc_yaw
0,yaw,2.0,0.009225606918334961,0.0,-0.0,-0.1,0.0,-0.0,-0.2
0,yaw,2.0,0.019153356552124023,0.0,-0.0,-0.1,0.0,-0.0,-0.1
0,yaw,2.0,0.029209136962890625,0.0,-0.0,-0.1,0.0,-0.0,-0.1
0,yaw,2.0,0.039437294006347656,0.0,-0.0,-0.1,0.0,-0.0,-0.1
0,yaw,2.0,0.04947042465209961,0.0,-0.0,-0.1,0.0,-0.0,-0.1
0,yaw,2.0,0.05945444107055664,0.0,-0.0,-0.1,0.0,-0.0,-0.1
0,yaw,2.0,0.06945204734802246,0.0,-0.0,0.0,0.0,-0.0,-0.1
0,yaw,2.0,0.07952094078063965,0.0,-0.0,0.0,0.0,-0.0,0.0
0,yaw,2.0,0.08940863609313965,0.0,-0.0,0.0,0.0,-0.0,0.0
0,yaw,2.0,0.09946942329406738,0.0,-0.0,0.0,0.0,-0.0,0.0
0,yaw,2.0,0.10944366455078125,0.0,-0.0,0.0,0.0,-0.0,0.0
0,yaw,2.0,0.11914992332458496,0.0,-0.0,0.0,0.0,-0.0,0.0
0,yaw,2.0,0.12943792343139648,0.0,-0.0,0.1,0.0,-0.0,0.0
0,yaw,2.0,0.13940906524658203,0.0,-0.0,0.1,0.0,-0.0,0.1
0,yaw,2.0,0.14938831329345703,0.0,-0.0,0.2,0.0,-0.0,0.1
0,yaw,2.0,0.15943670272827148,0.0,-0.0,0.2,0.0,-0.0,0.2
0,yaw,2.0,0.16942477226257324,0.0,-0.0,0.4,0.0,-0.0,0.2
0,yaw,2.0,0.17943692207336426,0.0,-0.0,0.4,0.0,-0.0,0.4
0,yaw,2.0,0.18943095207214355,0.0,-0.0,0.7,0.0,-0.0,0.4
0,yaw,2.0,0.19942235946655273,0.0,-0.0,0.7,0.0,-0.0,0.7
